series,date,value
SR16064,2001-04-01,46.905
SR16064,2001-05-01,44.446
SR16064,2001-06-01,44.016
SR16064,2001-07-01,46.138
SR16064,2001-08-01,47.387
SR16064,2001-09-01,44.665
SR16064,2001-10-01,42.294
SR16064,2001-11-01,42.805
SR16064,2001-12-01,42.725
SR16064,2002-01-01,36.8
SR16064,2002-02-01,38.261
SR16064,2002-03-01,39.478
SR16064,2002-04-01,40.062
SR16064,2002-05-01,40.931
SR16064,2002-06-01,41.042
SR16064,2002-07-01,41.61
SR16064,2002-08-01,42.307
SR16064,2002-09-01,42.027
SR16064,2002-10-01,41.824
SR16064,2002-11-01,43.361
SR16064,2002-12-01,42.416
SR16064,2003-01-01,40.731
SR16064,2003-02-01,39.789
SR16064,2003-03-01,37.502
SR16064,2003-04-01,40.216
SR16064,2003-05-01,40.287
SR16064,2003-06-01,40.915
SR16064,2003-07-01,40.956
SR16064,2003-08-01,40.9
SR16064,2003-09-01,40.143
SR16064,2003-10-01,40.574
SR16064,2003-11-01,40.272
SR16064,2003-12-01,39.074
SR16064,2004-01-01,39.513
SR16064,2004-02-01,40.028
SR16064,2004-03-01,39.126
SR16064,2004-04-01,39.9
SR16064,2004-05-01,40.469
SR16064,2004-06-01,40.764
SR16064,2004-07-01,39.59
SR16064,2004-08-01,39.208
SR16064,2004-09-01,40.131
SR16064,2004-10-01,39.797
SR16064,2004-11-01,40.253
SR16064,2004-12-01,41.124
SR16064,2005-01-01,41.936
SR16064,2005-02-01,43.754
SR16064,2005-03-01,42.224
SR16064,2005-04-01,41.18
SR16064,2005-05-01,40.14
SR16064,2005-06-01,40.898
SR16064,2005-07-01,41.042
SR16064,2005-08-01,40.085
SR16064,2005-09-01,41.648
SR16064,2005-10-01,42.763
SR16064,2005-11-01,43.251
SR16064,2005-12-01,43.635
SR16064,2006-01-01,43.863
SR16064,2006-02-01,44.396
SR16064,2006-03-01,44.896
SR16064,2006-04-01,44.7
SR16064,2006-05-01,44.279
SR16064,2006-06-01,44.227
SR16064,2006-07-01,44.839
SR16064,2006-08-01,44.652
SR16064,2006-09-01,44.84
SR16064,2006-10-01,45.255
SR16064,2006-11-01,44.342
SR16064,2006-12-01,44.099
SR16064,2007-01-01,42.617
SR16064,2007-02-01,42.798
SR16064,2007-03-01,42.972
SR16064,2007-04-01,43.261
SR16064,2007-05-01,43.597
SR16064,2007-06-01,43.134
SR16064,2007-07-01,42.914
SR16064,2007-08-01,43.496
SR16064,2007-09-01,42.612
SR16064,2007-10-01,42.247
SR16064,2007-11-01,41.91
SR16064,2007-12-01,42.212
SR16064,2008-01-01,42.022
SR16064,2008-02-01,41.627
SR16064,2008-03-01,41.501
SR16064,2008-04-01,39.975
SR16064,2008-05-01,38.975
SR16064,2008-06-01,37.675
SR16064,2008-07-01,36.509
SR16064,2008-08-01,36.749
SR16064,2008-09-01,36.21
SR16064,2008-10-01,35.064
SR16064,2008-11-01,35.829
SR16064,2008-12-01,34.653
SR16064,2009-01-01,34.207
SR16064,2009-02-01,33.681
SR16064,2009-03-01,33.348
SR16064,2009-04-01,34.476
SR16064,2009-05-01,33.364
SR16064,2009-06-01,34.114
SR16064,2009-07-01,35.665
SR16064,2009-08-01,34.034
SR16064,2009-09-01,34.042
SR16064,2009-10-01,33.413
SR16064,2009-11-01,34.013
SR16064,2009-12-01,33.767
SR16064,2010-01-01,34.501
SR16064,2010-02-01,34.527
SR16064,2010-03-01,34.724
SR16064,2010-04-01,34.964
SR16064,2010-05-01,35.888
SR16064,2010-06-01,36.569
SR16064,2010-07-01,36.297
SR16064,2010-08-01,36.65
SR16064,2010-09-01,37.881
SR16064,2010-10-01,38.245
SR16064,2010-11-01,38.129
SR16064,2010-12-01,38.045
SR16064,2011-01-01,38.048
SR16064,2011-02-01,38.795
SR16064,2011-03-01,38.496
SR16064,2011-04-01,37.578
SR16064,2011-05-01,37.669
