series,date,value
EconomicPolicyUncertainty,2015-01-01,12.204534491075735
EconomicPolicyUncertainty,2015-02-01,8.727070594774874
EconomicPolicyUncertainty,2015-03-01,9.277807063784923
EconomicPolicyUncertainty,2015-04-01,8.280254777070063
EconomicPolicyUncertainty,2015-05-01,8.421052631578947
EconomicPolicyUncertainty,2015-06-01,10.095429432446007
EconomicPolicyUncertainty,2015-07-01,9.951348960636887
EconomicPolicyUncertainty,2015-08-01,11.020629750271443
EconomicPolicyUncertainty,2015-09-01,14.710743801652892
EconomicPolicyUncertainty,2015-10-01,12.214137214137216
EconomicPolicyUncertainty,2015-11-01,10.39112667834209
EconomicPolicyUncertainty,2015-12-01,10.87962962962963
EconomicPolicyUncertainty,2016-01-01,13.336663336663337
EconomicPolicyUncertainty,2016-02-01,12.159329140461216
EconomicPolicyUncertainty,2016-03-01,12.05897840968931
EconomicPolicyUncertainty,2016-04-01,13.067552602436322
EconomicPolicyUncertainty,2016-05-01,10.681520314547837
EconomicPolicyUncertainty,2016-06-01,16.830466830466833
EconomicPolicyUncertainty,2016-07-01,13.05194805194805
EconomicPolicyUncertainty,2016-08-01,12.813370473537605
EconomicPolicyUncertainty,2016-09-01,13.542409123307198
EconomicPolicyUncertainty,2016-10-01,13.324360699865412
EconomicPolicyUncertainty,2016-11-01,20.245398773006134
EconomicPolicyUncertainty,2016-12-01,18.105423987776927
EconomicPolicyUncertainty,2017-01-01,19.602467443454422
EconomicPolicyUncertainty,2017-02-01,16.70266378689705
EconomicPolicyUncertainty,2017-03-01,16.491458607095925
EconomicPolicyUncertainty,2017-04-01,15.209665955934613
EconomicPolicyUncertainty,2017-05-01,12.070043777360851
EconomicPolicyUncertainty,2017-06-01,14.198369565217392
EconomicPolicyUncertainty,2017-07-01,11.411208642808914
EconomicPolicyUncertainty,2017-08-01,14.174757281553399
EconomicPolicyUncertainty,2017-09-01,12.67361111111111
EconomicPolicyUncertainty,2017-10-01,13.546099290780141
EconomicPolicyUncertainty,2017-11-01,13.932107496463933
EconomicPolicyUncertainty,2017-12-01,17.96733212341198
EconomicPolicyUncertainty,2018-01-01,16.236722306525035
EconomicPolicyUncertainty,2018-02-01,15.166666666666668
EconomicPolicyUncertainty,2018-03-01,17.101937657961248
EconomicPolicyUncertainty,2018-04-01,16.96921862667719
EconomicPolicyUncertainty,2018-05-01,16.703952274422072
EconomicPolicyUncertainty,2018-06-01,17.3841059602649
EconomicPolicyUncertainty,2018-07-01,15.036378334680677
EconomicPolicyUncertainty,2018-08-01,14.624808575803982
EconomicPolicyUncertainty,2018-09-01,15.789473684210526
EconomicPolicyUncertainty,2018-10-01,19.145690312738367
EconomicPolicyUncertainty,2018-11-01,20.5
EconomicPolicyUncertainty,2018-12-01,17.766497461928935
EconomicPolicyUncertainty,2019-01-01,21.288014311270125
EconomicPolicyUncertainty,2019-02-01,17.063492063492063
EconomicPolicyUncertainty,2019-03-01,20.70240295748614
EconomicPolicyUncertainty,2019-04-01,17.658930373360242
EconomicPolicyUncertainty,2019-05-01,16.73076923076923
EconomicPolicyUncertainty,2019-06-01,23.461091753774678
EconomicPolicyUncertainty,2019-07-01,18.690702087286528
EconomicPolicyUncertainty,2019-08-01,24.15730337078652
EconomicPolicyUncertainty,2019-09-01,21.675392670157066
EconomicPolicyUncertainty,2019-10-01,22.22222222222222
EconomicPolicyUncertainty,2019-11-01,20.46783625730994
EconomicPolicyUncertainty,2019-12-01,22.11302211302211
EconomicPolicyUncertainty,2020-01-01,19.090909090909093
EconomicPolicyUncertainty,2020-02-01,18.563535911602212
EconomicPolicyUncertainty,2020-03-01,21.69657422512235
EconomicPolicyUncertainty,2020-04-01,22.886421861656704
EconomicPolicyUncertainty,2020-05-01,19.5260663507109
EconomicPolicyUncertainty,2020-06-01,19.10891089108911
EconomicPolicyUncertainty,2020-07-01,19.29170549860205
EconomicPolicyUncertainty,2020-08-01,15.263157894736842
EconomicPolicyUncertainty,2020-09-01,18.429319371727747
EconomicPolicyUncertainty,2020-10-01,18.328584995251664
EconomicPolicyUncertainty,2020-11-01,17.114093959731544
EconomicPolicyUncertainty,2020-12-01,20.154185022026432
EconomicPolicyUncertainty,2021-01-01,16.523867809057528
EconomicPolicyUncertainty,2021-02-01,17.365967365967368
EconomicPolicyUncertainty,2021-03-01,17.21311475409836
EconomicPolicyUncertainty,2021-04-01,16.877637130801688
EconomicPolicyUncertainty,2021-05-01,14.348302300109527
EconomicPolicyUncertainty,2021-06-01,13.698630136986301
EconomicPolicyUncertainty,2021-07-01,14.81113320079523
EconomicPolicyUncertainty,2021-08-01,13.566289825282633
EconomicPolicyUncertainty,2021-09-01,16.918714555765597
EconomicPolicyUncertainty,2021-10-01,15.53672316384181
EconomicPolicyUncertainty,2021-11-01,14.81818181818182
EconomicPolicyUncertainty,2021-12-01,16.2426614481409
EconomicPolicyUncertainty,2022-01-01,12.037914691943127
EconomicPolicyUncertainty,2022-02-01,14.444444444444443
EconomicPolicyUncertainty,2022-03-01,15.650741350906095
EconomicPolicyUncertainty,2022-04-01,15.421455938697317
EconomicPolicyUncertainty,2022-05-01,13.35149863760218
EconomicPolicyUncertainty,2022-06-01,18.388429752066116
EconomicPolicyUncertainty,2022-07-01,18.87705711519845
EconomicPolicyUncertainty,2022-08-01,16.43835616438356
EconomicPolicyUncertainty,2022-09-01,19.444444444444446
EconomicPolicyUncertainty,2022-10-01,18.72759856630824
EconomicPolicyUncertainty,2022-11-01,17.048853439680958
EconomicPolicyUncertainty,2022-12-01,14.161220043572984
EconomicPolicyUncertainty,2023-01-01,14.921223354958293
EconomicPolicyUncertainty,2023-02-01,13.581599123767798
EconomicPolicyUncertainty,2023-03-01,17.073170731707318
EconomicPolicyUncertainty,2023-04-01,13.960703205791106
EconomicPolicyUncertainty,2023-05-01,17.012858555885263
EconomicPolicyUncertainty,2023-06-01,14.758751182592242
EconomicPolicyUncertainty,2023-07-01,12.195121951219512
EconomicPolicyUncertainty,2023-08-01,14.380321665089877
EconomicPolicyUncertainty,2023-09-01,15.252525252525254
EconomicPolicyUncertainty,2023-10-01,13.896457765667575
EconomicPolicyUncertainty,2023-11-01,12.79916753381894
EconomicPolicyUncertainty,2023-12-01,11.65158371040724
EconomicPolicyUncertainty,2024-01-01,11.829025844930417
EconomicPolicyUncertainty,2024-02-01,9.871244635193133
EconomicPolicyUncertainty,2024-03-01,11.589403973509933
EconomicPolicyUncertainty,2024-04-01,13.949433304272013
EconomicPolicyUncertainty,2024-05-01,13.841807909604519
EconomicPolicyUncertainty,2024-06-01,17.659574468085108
EconomicPolicyUncertainty,2024-07-01,15.217391304347828
EconomicPolicyUncertainty,2024-08-01,19.607843137254903
EconomicPolicyUncertainty,2024-09-01,17.551020408163264
EconomicPolicyUncertainty,2024-10-01,18.336483931947072
EconomicPolicyUncertainty,2024-11-01,21.31630648330059
EconomicPolicyUncertainty,2024-12-01,17.60089686098655
EconomicPolicyUncertainty,2025-01-01,22.338403041825096
EconomicPolicyUncertainty,2025-02-01,25.515210991167812
EconomicPolicyUncertainty,2025-03-01,27.497527200791293
EconomicPolicyUncertainty,2025-04-01,27.351164797238997
EconomicPolicyUncertainty,2025-05-01,22.912801484230055
EconomicPolicyUncertainty,2025-06-01,22.523364485981308
EconomicPolicyUncertainty,2025-07-01,15.398075240594924
EconomicPolicyUncertainty,2025-08-01,16.51186790505676
EconomicPolicyUncertainty,2025-09-01,22.49208025343189
EconomicPolicyUncertainty,2025-10-01,24.479166666666664
EconomicPolicyUncertainty,2025-11-01,21.852387843704776
EconomicPolicyUncertainty,2025-12-01,20.22346368715084
EconomicPolicyUncertainty,2026-01-01,22.15568862275449
EconomicPolicyUncertainty,2026-02-01,17.472375690607738
EconomicPolicyUncertainty,2026-03-01,21.888412017167383
EconomicPolicyUncertainty,2026-04-01,20.048602673147023
EconomicPolicyUncertainty,2026-05-01,19.841269841269842
EconomicPolicyUncertainty,2026-06-01,19.339298004129386
FiscalPolicy,2015-01-01,4.6792088760250845
FiscalPolicy,2015-02-01,4.669260700389105
FiscalPolicy,2015-03-01,3.7954665260938327
FiscalPolicy,2015-04-01,2.6539278131634823
FiscalPolicy,2015-05-01,2.8947368421052633
FiscalPolicy,2015-06-01,2.260170768458061
FiscalPolicy,2015-07-01,2.697921273772667
FiscalPolicy,2015-08-01,3.691639522258415
FiscalPolicy,2015-09-01,4.462809917355372
FiscalPolicy,2015-10-01,4.521829521829522
FiscalPolicy,2015-11-01,3.911266783420899
FiscalPolicy,2015-12-01,3.2407407407407405
FiscalPolicy,2016-01-01,3.9460539460539463
FiscalPolicy,2016-02-01,5.450733752620545
FiscalPolicy,2016-03-01,4.476040021063718
FiscalPolicy,2016-04-01,5.426356589147287
FiscalPolicy,2016-05-01,4.193971166448231
FiscalPolicy,2016-06-01,5.589680589680589
FiscalPolicy,2016-07-01,4.675324675324675
FiscalPolicy,2016-08-01,4.874651810584958
FiscalPolicy,2016-09-01,7.270135424091233
FiscalPolicy,2016-10-01,6.594885598923284
FiscalPolicy,2016-11-01,8.83435582822086
FiscalPolicy,2016-12-01,7.944996180290298
FiscalPolicy,2017-01-01,6.991089787525702
FiscalPolicy,2017-02-01,8.855291576673865
FiscalPolicy,2017-03-01,8.607095926412615
FiscalPolicy,2017-04-01,7.604832977967306
FiscalPolicy,2017-05-01,4.1901188242651655
FiscalPolicy,2017-06-01,4.415760869565218
FiscalPolicy,2017-07-01,4.186360567184335
FiscalPolicy,2017-08-01,4.854368932038835
FiscalPolicy,2017-09-01,5.555555555555555
FiscalPolicy,2017-10-01,6.666666666666667
FiscalPolicy,2017-11-01,6.506364922206506
FiscalPolicy,2017-12-01,10.072595281306715
FiscalPolicy,2018-01-01,8.42185128983308
FiscalPolicy,2018-02-01,5.833333333333333
FiscalPolicy,2018-03-01,6.992417860151642
FiscalPolicy,2018-04-01,7.18232044198895
FiscalPolicy,2018-05-01,5.219985085756898
FiscalPolicy,2018-06-01,5.960264900662252
FiscalPolicy,2018-07-01,5.820533548908649
FiscalPolicy,2018-08-01,5.51301684532925
FiscalPolicy,2018-09-01,6.0855263157894735
FiscalPolicy,2018-10-01,7.704042715484364
FiscalPolicy,2018-11-01,9.75
FiscalPolicy,2018-12-01,8.83248730964467
FiscalPolicy,2019-01-01,7.334525939177102
FiscalPolicy,2019-02-01,5.952380952380952
FiscalPolicy,2019-03-01,7.578558225508318
FiscalPolicy,2019-04-01,6.760847628657922
FiscalPolicy,2019-05-01,5.961538461538462
FiscalPolicy,2019-06-01,7.4332171893147505
FiscalPolicy,2019-07-01,6.641366223908918
FiscalPolicy,2019-08-01,8.614232209737828
FiscalPolicy,2019-09-01,9.63350785340314
FiscalPolicy,2019-10-01,9.15032679738562
FiscalPolicy,2019-11-01,8.421052631578947
FiscalPolicy,2019-12-01,6.87960687960688
FiscalPolicy,2020-01-01,6.0606060606060606
FiscalPolicy,2020-02-01,6.961325966850829
FiscalPolicy,2020-03-01,9.787928221859707
FiscalPolicy,2020-04-01,11.101622544833475
FiscalPolicy,2020-05-01,9.47867298578199
FiscalPolicy,2020-06-01,7.920792079207921
FiscalPolicy,2020-07-01,8.294501397949674
FiscalPolicy,2020-08-01,6.526315789473684
FiscalPolicy,2020-09-01,10.157068062827225
FiscalPolicy,2020-10-01,11.301044634377968
FiscalPolicy,2020-11-01,7.606263982102908
FiscalPolicy,2020-12-01,8.259911894273127
FiscalPolicy,2021-01-01,10.159118727050185
FiscalPolicy,2021-02-01,7.80885780885781
FiscalPolicy,2021-03-01,8.504098360655737
FiscalPolicy,2021-04-01,7.383966244725738
FiscalPolicy,2021-05-01,6.133625410733845
FiscalPolicy,2021-06-01,5.900948366701791
FiscalPolicy,2021-07-01,5.666003976143141
FiscalPolicy,2021-08-01,4.110996916752312
FiscalPolicy,2021-09-01,5.671077504725898
FiscalPolicy,2021-10-01,5.367231638418079
FiscalPolicy,2021-11-01,5.363636363636363
FiscalPolicy,2021-12-01,4.305283757338552
FiscalPolicy,2022-01-01,3.7914691943127963
FiscalPolicy,2022-02-01,3.6111111111111107
FiscalPolicy,2022-03-01,4.85996705107084
FiscalPolicy,2022-04-01,4.789272030651341
FiscalPolicy,2022-05-01,2.7247956403269753
FiscalPolicy,2022-06-01,3.4090909090909087
FiscalPolicy,2022-07-01,5.130687318489835
FiscalPolicy,2022-08-01,3.1963470319634704
FiscalPolicy,2022-09-01,6.800766283524904
FiscalPolicy,2022-10-01,6.272401433691756
FiscalPolicy,2022-11-01,4.885343968095713
FiscalPolicy,2022-12-01,4.466230936819173
FiscalPolicy,2023-01-01,4.263206672845228
FiscalPolicy,2023-02-01,3.5049288061336252
FiscalPolicy,2023-03-01,3.7940379403794036
FiscalPolicy,2023-04-01,4.3433298862461225
FiscalPolicy,2023-05-01,5.341246290801187
FiscalPolicy,2023-06-01,4.824976348155157
FiscalPolicy,2023-07-01,3.564727954971857
FiscalPolicy,2023-08-01,4.824976348155157
FiscalPolicy,2023-09-01,6.767676767676768
FiscalPolicy,2023-10-01,4.450499545867393
FiscalPolicy,2023-11-01,4.994797086368366
FiscalPolicy,2023-12-01,3.506787330316742
FiscalPolicy,2024-01-01,3.5785288270377733
FiscalPolicy,2024-02-01,3.004291845493562
