series,date,value
composite_score,2011-01-21,-1.0
composite_score,2011-03-04,-1.0
composite_score,2011-04-15,1.5
composite_score,2011-05-27,-1.0
composite_score,2011-07-08,-1.5
composite_score,2011-08-26,-1.5
composite_score,2011-10-14,-1.5
composite_score,2011-12-02,-1.5
composite_score,2012-01-20,-1.5
composite_score,2012-03-16,-1.5
composite_score,2012-04-27,0.0
composite_score,2012-06-08,-1.5
composite_score,2012-07-20,-1.0
composite_score,2012-09-07,-1.5
composite_score,2012-10-26,-1.5
composite_score,2012-11-30,-1.0
composite_score,2013-01-18,-1.0
composite_score,2013-03-08,-1.5
composite_score,2013-04-26,-1.5
composite_score,2013-06-07,-1.0
composite_score,2013-07-12,0.0
composite_score,2013-09-06,-1.0
composite_score,2013-10-25,-1.0
composite_score,2013-12-06,-1.0
composite_score,2014-01-31,0.0
composite_score,2014-03-21,0.0
composite_score,2014-04-25,-1.0
composite_score,2014-06-06,-1.0
composite_score,2014-07-11,-1.0
composite_score,2014-09-05,0.0
composite_score,2014-10-31,-1.0
composite_score,2014-12-05,-1.0
composite_score,2015-01-29,-1.0
composite_score,2015-03-26,-1.0
composite_score,2015-04-30,-1.0
composite_score,2015-06-04,-1.0
composite_score,2015-07-30,-1.0
composite_score,2015-09-21,-1.0
composite_score,2015-10-29,-1.5
composite_score,2015-12-17,-1.0
composite_score,2016-02-04,-1.5
composite_score,2016-03-18,-1.0
composite_score,2016-05-05,-1.0
composite_score,2016-06-30,-1.5
composite_score,2016-08-11,-1.5
composite_score,2016-09-29,-1.0
composite_score,2016-11-17,-1.0
composite_score,2016-12-15,-1.0
composite_score,2017-02-09,-1.0
composite_score,2017-03-30,0.0
composite_score,2017-05-18,-1.0
composite_score,2017-06-22,0.0
composite_score,2017-08-10,0.0
composite_score,2017-09-28,-1.0
composite_score,2017-11-09,0.0
composite_score,2017-12-14,0.0
composite_score,2018-02-08,0.0
composite_score,2018-04-12,0.0
composite_score,2018-05-17,0.0
composite_score,2018-06-21,-0.5
composite_score,2018-08-02,-1.0
composite_score,2018-10-04,-0.5
composite_score,2018-11-15,0.0
composite_score,2018-12-20,-1.5
composite_score,2019-02-07,-1.5
composite_score,2019-03-28,-1.5
composite_score,2019-05-16,-1.5
composite_score,2019-06-27,-1.0
composite_score,2019-08-15,-1.2
composite_score,2019-09-26,-1.5
composite_score,2019-11-14,-1.5
composite_score,2019-12-19,-1.0
composite_score,2020-02-13,-1.5
composite_score,2020-03-20,-1.5
composite_score,2020-04-21,-1.5
composite_score,2020-05-14,-1.5
composite_score,2020-06-25,-1.5
composite_score,2020-08-13,-1.5
composite_score,2020-09-24,-1.2
composite_score,2020-11-12,-1.5
composite_score,2020-12-17,-1.0
composite_score,2021-02-11,-1.0
composite_score,2021-03-25,-1.5
composite_score,2021-05-13,-1.5
composite_score,2021-06-24,-1.0
composite_score,2021-08-12,-1.0
composite_score,2021-09-30,-1.0
composite_score,2021-11-11,-1.5
composite_score,2021-12-16,1.0
composite_score,2022-02-10,-1.5
composite_score,2022-03-24,1.0
composite_score,2022-05-12,-1.0
composite_score,2022-06-23,-1.0
composite_score,2022-08-11,-1.0
composite_score,2022-09-29,-0.5
composite_score,2022-11-10,0.0
composite_score,2022-12-15,1.0
composite_score,2023-02-09,0.0
composite_score,2023-03-30,0.0
composite_score,2023-05-18,-0.5
composite_score,2023-06-22,0.0
composite_score,2023-08-10,0.0
composite_score,2023-09-28,0.0
composite_score,2023-11-09,0.0
composite_score,2023-12-14,0.0
composite_score,2024-02-08,-1.0
composite_score,2024-03-21,0.0
composite_score,2024-05-09,-0.5
composite_score,2024-06-27,-1.0
composite_score,2024-08-08,-0.5
composite_score,2024-09-26,-0.5
composite_score,2024-11-14,0.0
composite_score,2024-12-19,-0.5
composite_score,2025-02-06,-0.5
composite_score,2025-03-27,-0.5
composite_score,2025-05-15,-1.2
composite_score,2025-06-26,-0.5
composite_score,2025-08-07,-0.5
composite_score,2025-09-25,-1.2
composite_score,2025-11-06,-1.0
composite_score,2025-12-18,-0.5
composite_score,2026-02-05,-1.0
composite_score,2026-03-26,0.0
composite_score,2026-05-07,0.0
