series,date,value
Bank funding,2017-01-08,0.011999999999999567
Bank funding,2017-01-15,0.011999999999999567
Bank funding,2017-01-22,0.016000000000000014
Bank funding,2017-01-29,0.016000000000000014
Bank funding,2017-02-05,0.03599999999999959
Bank funding,2017-02-12,-0.04321428571428587
Bank funding,2017-02-19,-0.009999999999999787
Bank funding,2017-02-26,0.0
Bank funding,2017-03-05,0.02999999999999936
Bank funding,2017-03-12,0.02999999999999936
Bank funding,2017-03-19,0.08199999999999985
Bank funding,2017-03-26,-0.0600000000000005
Bank funding,2017-04-02,-0.04285714285714359
Bank funding,2017-04-09,0.0519999999999996
Bank funding,2017-04-16,0.046666666666666856
Bank funding,2017-04-23,-0.012000000000000455
Bank funding,2017-04-30,0.09399999999999942
Bank funding,2017-05-07,0.025000000000000355
Bank funding,2017-05-14,0.016000000000000014
Bank funding,2017-05-21,-0.08485714285714341
Bank funding,2017-05-28,-0.012000000000000455
Bank funding,2017-06-04,0.045999999999999375
Bank funding,2017-06-11,0.012000000000000455
Bank funding,2017-06-18,0.03599999999999959
Bank funding,2017-06-25,-0.07885714285714318
Bank funding,2017-07-02,-0.006000000000000227
Bank funding,2017-07-09,0.043999999999999595
Bank funding,2017-07-16,0.05799999999999983
Bank funding,2017-07-23,0.040000000000000924
Bank funding,2017-07-30,0.03799999999999937
Bank funding,2017-08-06,0.05600000000000005
Bank funding,2017-08-13,0.016000000000000014
Bank funding,2017-08-20,0.041999999999999815
Bank funding,2017-08-27,0.03199999999999914
Bank funding,2017-09-03,0.02800000000000047
Bank funding,2017-09-10,0.02800000000000047
Bank funding,2017-09-17,0.04800000000000004
Bank funding,2017-09-24,0.03799999999999937
Bank funding,2017-10-01,-0.006000000000000227
Bank funding,2017-10-08,0.043999999999999595
Bank funding,2017-10-15,0.043999999999999595
Bank funding,2017-10-22,0.017999999999998906
Bank funding,2017-10-29,0.006000000000000227
Bank funding,2017-11-05,0.024999999999999467
Bank funding,2017-11-12,0.008000000000000007
Bank funding,2017-11-19,0.009999999999999787
Bank funding,2017-11-26,0.004999999999999893
Bank funding,2017-12-03,0.045999999999999375
Bank funding,2017-12-10,0.04600000000000115
Bank funding,2017-12-17,0.07714285714285651
Bank funding,2017-12-24,0.05399999999999938
Bank funding,2017-12-31,0.08000000000000007
Bank funding,2018-01-07,0.05750000000000011
Bank funding,2018-01-14,0.016000000000000014
Bank funding,2018-01-21,0.05600000000000005
Bank funding,2018-01-28,0.023999999999999133
Bank funding,2018-02-04,0.08199999999999896
Bank funding,2018-02-11,-0.0403571428571432
Bank funding,2018-02-18,0.04600000000000115
Bank funding,2018-02-25,0.03599999999999959
Bank funding,2018-03-04,0.07800000000000029
Bank funding,2018-03-11,0.06599999999999984
Bank funding,2018-03-18,0.05399999999999938
Bank funding,2018-03-25,0.040000000000000036
Bank funding,2018-04-01,0.0766666666666671
Bank funding,2018-04-08,0.04999999999999982
Bank funding,2018-04-15,0.04999999999999982
Bank funding,2018-04-22,0.012000000000000455
Bank funding,2018-04-29,0.008000000000000007
Bank funding,2018-05-06,0.054999999999999716
Bank funding,2018-05-13,0.014000000000000234
Bank funding,2018-05-20,0.08000000000000007
Bank funding,2018-05-27,0.05400000000000027
Bank funding,2018-06-03,0.10199999999999942
Bank funding,2018-06-10,0.07000000000000028
Bank funding,2018-06-17,0.0519999999999996
Bank funding,2018-06-24,-0.032857142857143806
Bank funding,2018-07-01,0.043999999999999595
Bank funding,2018-07-08,0.06400000000000006
Bank funding,2018-07-15,0.017999999999998906
Bank funding,2018-07-22,0.006000000000000227
Bank funding,2018-07-29,0.047999999999999154
Bank funding,2018-08-05,0.10199999999999942
Bank funding,2018-08-12,0.05400000000000027
Bank funding,2018-08-19,0.04600000000000115
Bank funding,2018-08-26,0.009999999999999787
Bank funding,2018-09-02,0.041999999999999815
Bank funding,2018-09-09,0.023999999999999133
Bank funding,2018-09-16,0.040000000000000924
Bank funding,2018-09-23,0.0
Bank funding,2018-09-30,0.09799999999999898
Bank funding,2018-10-07,0.12199999999999989
Bank funding,2018-10-14,0.06400000000000006
Bank funding,2018-10-21,0.05600000000000005
Bank funding,2018-10-28,0.017999999999998906
Bank funding,2018-11-04,0.07500000000000018
Bank funding,2018-11-11,0.0519999999999996
Bank funding,2018-11-18,0.00114285714285689
Bank funding,2018-11-25,0.01249999999999929
Bank funding,2018-12-02,0.034000000000000696
Bank funding,2018-12-09,0.10800000000000054
Bank funding,2018-12-16,0.08750000000000036
Bank funding,2018-12-23,-0.008857142857142009
Bank funding,2018-12-30,0.14750000000000085
Bank funding,2019-01-06,0.04499999999999993
Bank funding,2019-01-13,0.023999999999999133
Bank funding,2019-01-20,0.03200000000000003
Bank funding,2019-01-27,0.012000000000000455
Bank funding,2019-02-03,0.038000000000000256
Bank funding,2019-02-10,0.03999999999999915
Bank funding,2019-02-17,0.03599999999999781
Bank funding,2019-02-24,0.023999999999999133
Bank funding,2019-03-03,0.04400000000000048
Bank funding,2019-03-10,0.02800000000000047
Bank funding,2019-03-17,0.0259999999999998
Bank funding,2019-03-24,0.01750000000000007
Bank funding,2019-03-31,0.034000000000000696
Bank funding,2019-04-07,0.041999999999999815
Bank funding,2019-04-14,0.04400000000000048
Bank funding,2019-04-21,0.033333333333333215
Bank funding,2019-04-28,0.016000000000000014
Bank funding,2019-05-05,0.05250000000000021
Bank funding,2019-05-12,0.03599999999999781
Bank funding,2019-05-19,0.04400000000000048
Bank funding,2019-05-26,0.05000000000000071
Bank funding,2019-06-02,0.06800000000000139
Bank funding,2019-06-09,0.09999999999999964
Bank funding,2019-06-16,-0.006000000000000227
Bank funding,2019-06-23,0.009999999999999787
Bank funding,2019-06-30,0.02999999999999936
Bank funding,2019-07-07,0.03999999999999915
Bank funding,2019-07-14,0.04800000000000004
Bank funding,2019-07-21,0.0259999999999998
Bank funding,2019-07-28,0.023999999999999133
Bank funding,2019-08-04,0.041999999999999815
Bank funding,2019-08-11,0.038000000000000256
Bank funding,2019-08-18,0.12685714285714234
Bank funding,2019-08-25,0.02200000000000024
Bank funding,2019-09-01,0.019999999999999574
Bank funding,2019-09-08,0.09999999999999964
Bank funding,2019-09-15,0.023999999999999133
Bank funding,2019-09-22,0.025000000000000355
Bank funding,2019-09-29,0.24685714285714422
Bank funding,2019-10-06,0.0860000000000003
Bank funding,2019-10-13,0.009999999999999787
Bank funding,2019-10-20,0.03199999999999914
Bank funding,2019-10-27,0.03599999999999959
Bank funding,2019-11-03,0.04800000000000004
Bank funding,2019-11-10,0.08199999999999896
Bank funding,2019-11-17,0.3368571428571432
Bank funding,2019-11-24,0.21250000000000036
Bank funding,2019-12-01,0.0680000000000005
Bank funding,2019-12-08,0.06400000000000006
Bank funding,2019-12-15,0.03249999999999975
Bank funding,2019-12-22,0.19285714285714306
Bank funding,2019-12-29,0.0600000000000005
Bank funding,2020-01-05,0.04499999999999993
Bank funding,2020-01-12,0.034000000000000696
Bank funding,2020-01-19,0.02200000000000024
Bank funding,2020-01-26,-0.012000000000000455
Bank funding,2020-02-02,0.009999999999999787
Bank funding,2020-02-09,0.04750000000000032
Bank funding,2020-02-16,0.12685714285714322
Bank funding,2020-02-23,-0.017999999999998906
Bank funding,2020-03-01,0.03799999999999937
Bank funding,2020-03-08,0.05399999999999938
Bank funding,2020-03-15,0.041999999999999815
Bank funding,2020-03-22,0.26928571428571413
Bank funding,2020-03-29,0.07800000000000029
Bank funding,2020-04-05,0.10400000000000098
Bank funding,2020-04-12,0.046666666666666856
Bank funding,2020-04-19,-0.03599999999999959
Bank funding,2020-04-26,0.27857142857142847
Bank funding,2020-05-03,0.04249999999999954
Bank funding,2020-05-10,0.04600000000000026
Bank funding,2020-05-17,0.4657142857142853
Bank funding,2020-05-24,0.04600000000000026
Bank funding,2020-05-31,0.09600000000000009
Bank funding,2020-06-07,0.08800000000000008
Bank funding,2020-06-14,0.07200000000000006
Bank funding,2020-06-21,0.06199999999999939
Bank funding,2020-06-28,0.27971428571428536
Bank funding,2020-07-05,0.09399999999999942
Bank funding,2020-07-12,0.04800000000000004
Bank funding,2020-07-19,0.043999999999999595
Bank funding,2020-07-26,-0.0039999999999995595
Bank funding,2020-08-02,0.04800000000000004
Bank funding,2020-08-09,0.05799999999999983
Bank funding,2020-08-16,0.18628571428571394
