series,date,value
Construction,2017-01-01,99.3256
Construction,2017-02-01,99.4243
Construction,2017-03-01,100.7365
Construction,2017-04-01,96.454
Construction,2017-05-01,97.4214
Construction,2017-06-01,99.779
Construction,2017-07-01,97.631
Construction,2017-08-01,100.2223
Construction,2017-09-01,102.5717
Construction,2017-10-01,101.4569
Construction,2017-11-01,98.8633
Construction,2017-12-01,103.7051
Construction,2018-01-01,101.0285
Construction,2018-02-01,103.5887
Construction,2018-03-01,101.257
Construction,2018-04-01,99.2675
Construction,2018-05-01,101.777
Construction,2018-06-01,100.8484
Construction,2018-07-01,102.8827
Construction,2018-08-01,97.6602
Construction,2018-09-01,101.2257
Construction,2018-10-01,101.2303
Construction,2018-11-01,92.4329
Construction,2018-12-01,98.7822
Construction,2019-01-01,101.7564
Construction,2019-02-01,99.5871
Construction,2019-03-01,98.0191
Construction,2019-04-01,100.0835
Construction,2019-05-01,95.6865
Construction,2019-06-01,98.1806
Construction,2019-07-01,95.8152
Construction,2019-08-01,95.2828
Construction,2019-09-01,93.0112
Construction,2019-10-01,91.2679
Construction,2019-11-01,92.2902
Construction,2019-12-01,93.3898
Construction,2020-01-01,92.5121
Construction,2020-02-01,89.5846
Construction,2020-03-01,89.8036
Construction,2020-04-01,57.6446
Construction,2020-05-01,58.9386
Construction,2020-06-01,72.5159
Construction,2020-07-01,72.8071
Construction,2020-08-01,81.0902
Construction,2020-09-01,79.8068
Construction,2020-10-01,83.5434
Construction,2020-11-01,86.4089
Construction,2020-12-01,83.9643
Construction,2021-01-01,84.438
Construction,2021-02-01,87.6628
Construction,2021-03-01,86.5962
Construction,2021-04-01,87.7123
Construction,2021-05-01,88.1212
Construction,2021-06-01,85.3164
Construction,2021-07-01,85.1207
Construction,2021-08-01,90.1408
Construction,2021-09-01,89.4488
Construction,2021-10-01,87.5656
Construction,2021-11-01,86.4791
Construction,2021-12-01,87.357
Construction,2022-01-01,88.6926
Construction,2022-02-01,90.1179
Construction,2022-03-01,92.071
Construction,2022-04-01,93.117
Construction,2022-05-01,88.8172
Construction,2022-06-01,89.0904
Construction,2022-07-01,88.0772
Construction,2022-08-01,88.483
Construction,2022-09-01,87.9314
Construction,2022-10-01,86.835
Construction,2022-11-01,90.6238
Construction,2022-12-01,93.7152
Construction,2023-01-01,93.1915
Construction,2023-02-01,93.516
Construction,2023-03-01,95.2968
Construction,2023-04-01,94.156
Construction,2023-05-01,97.6582
Construction,2023-06-01,101.3384
Construction,2023-07-01,101.377
Construction,2023-08-01,104.145
Construction,2023-09-01,105.7261
Construction,2023-10-01,110.3004
Construction,2023-11-01,105.8605
Construction,2023-12-01,105.8766
Construction,2024-01-01,108.2969
Construction,2024-02-01,103.1067
Construction,2024-03-01,103.5901
Construction,2024-04-01,104.7627
Construction,2024-05-01,105.9702
Construction,2024-06-01,103.0808
Construction,2024-07-01,107.6138
Construction,2024-08-01,103.6117
Construction,2024-09-01,106.1191
Construction,2024-10-01,101.1628
Construction,2024-11-01,101.4054
Construction,2024-12-01,99.3725
Construction,2025-01-01,99.5751
Construction,2025-02-01,103.3182
Construction,2025-03-01,106.059
Construction,2025-04-01,99.5057
Construction,2025-05-01,104.7061
Construction,2025-06-01,103.9176
Construction,2025-07-01,103.1361
Construction,2025-08-01,101.2735
Construction,2025-09-01,99.1569
Construction,2025-10-01,103.1376
Construction,2025-11-01,104.4338
Construction,2025-12-01,105.676
Construction,2026-01-01,104.0896
Construction,2026-02-01,104.2677
Construction,2026-03-01,101.2118
Construction,2026-04-01,108.1135
Construction,2026-05-01,104.0801
Energy,2017-01-01,98.3507
Energy,2017-02-01,97.0738
Energy,2017-03-01,99.8536
Energy,2017-04-01,97.1377
Energy,2017-05-01,99.1379
Energy,2017-06-01,99.1206
Energy,2017-07-01,96.7927
Energy,2017-08-01,96.9514
Energy,2017-09-01,97.8501
Energy,2017-10-01,94.7805
Energy,2017-11-01,102.1218
Energy,2017-12-01,98.1852
Energy,2018-01-01,100.3597
Energy,2018-02-01,101.2
Energy,2018-03-01,98.1379
Energy,2018-04-01,101.5949
Energy,2018-05-01,97.2789
Energy,2018-06-01,100.027
Energy,2018-07-01,102.1918
Energy,2018-08-01,100.3488
Energy,2018-09-01,100.4222
Energy,2018-10-01,98.6965
Energy,2018-11-01,101.7322
Energy,2018-12-01,97.255
Energy,2019-01-01,93.747
Energy,2019-02-01,93.8532
Energy,2019-03-01,92.476
Energy,2019-04-01,94.0899
Energy,2019-05-01,93.3608
Energy,2019-06-01,94.804
Energy,2019-07-01,93.8901
Energy,2019-08-01,95.8112
Energy,2019-09-01,96.249
Energy,2019-10-01,95.4474
Energy,2019-11-01,97.1681
Energy,2019-12-01,95.1052
Energy,2020-01-01,95.0918
Energy,2020-02-01,97.5669
Energy,2020-03-01,94.1201
Energy,2020-04-01,93.4855
Energy,2020-05-01,82.5498
Energy,2020-06-01,84.0188
Energy,2020-07-01,88.105
Energy,2020-08-01,94.6336
Energy,2020-09-01,91.1241
Energy,2020-10-01,90.6339
Energy,2020-11-01,88.3037
Energy,2020-12-01,87.4292
Energy,2021-01-01,72.1072
Energy,2021-02-01,69.6119
Energy,2021-03-01,72.0837
Energy,2021-04-01,70.8133
Energy,2021-05-01,70.3432
Energy,2021-06-01,70.4357
Energy,2021-07-01,71.2359
Energy,2021-08-01,68.6006
Energy,2021-09-01,67.8899
Energy,2021-10-01,69.0974
Energy,2021-11-01,69.014
Energy,2021-12-01,73.1769
Energy,2022-01-01,70.5623
