series,date,value
amihud,1999-12-01,3806.529209950387
amihud,2000-01-01,4176.418613334936
amihud,2000-02-01,2944.494703765182
amihud,2000-03-01,2872.343226313468
amihud,2000-04-01,6032.406419016759
amihud,2000-05-01,8076.6552616923345
amihud,2000-06-01,5114.064632774622
amihud,2000-07-01,5356.087468637716
amihud,2000-08-01,5275.793692944508
amihud,2000-09-01,4483.566741161765
amihud,2000-10-01,4896.184032766843
amihud,2000-11-01,6218.103450465675
amihud,2000-12-01,5015.232039494612
amihud,2001-01-01,4151.674248668134
amihud,2001-02-01,2148.9525289195867
amihud,2001-03-01,4923.223129928497
amihud,2001-04-01,2711.3260662215753
amihud,2001-05-01,1961.254796495586
amihud,2001-06-01,1706.0127241321675
amihud,2001-07-01,1768.9561923019319
amihud,2001-08-01,2690.9642929786987
amihud,2001-09-01,11088.94203294822
amihud,2001-10-01,3897.4846202640365
amihud,2001-11-01,2533.948269090784
amihud,2001-12-01,2839.5251898233623
amihud,2002-01-01,2195.9378523485425
amihud,2002-02-01,2573.7598831364126
amihud,2002-03-01,2213.4899232441403
amihud,2002-04-01,1716.4843778060351
amihud,2002-05-01,1649.4073129023848
amihud,2002-06-01,2602.903524479837
amihud,2002-07-01,4203.401880953546
amihud,2002-08-01,4999.573989148987
amihud,2002-09-01,5587.754486419529
amihud,2002-10-01,3720.7717310952767
amihud,2002-11-01,4813.538005864599
amihud,2002-12-01,3772.370618722775
amihud,2003-01-01,4346.044020119805
amihud,2003-02-01,3618.80843290208
amihud,2003-03-01,2021.961281447635
amihud,2003-04-01,2951.4120957312757
amihud,2003-05-01,3378.3295724693517
amihud,2003-06-01,1879.0300518003762
amihud,2003-07-01,2260.7329895572157
amihud,2003-08-01,1817.8931285668255
amihud,2003-09-01,1563.081656221029
amihud,2003-10-01,1310.0084842776134
amihud,2003-11-01,2365.975731898464
amihud,2003-12-01,1726.160118719336
amihud,2004-01-01,1007.1651369288371
amihud,2004-02-01,743.1384197924559
amihud,2004-03-01,1050.3159643679107
amihud,2004-04-01,1164.6874531808521
amihud,2004-05-01,1836.2951782716589
amihud,2004-06-01,1609.977457208727
amihud,2004-07-01,1495.0069889536303
amihud,2004-08-01,1328.552763775967
amihud,2004-09-01,1306.286379659284
amihud,2004-10-01,1080.4267800048942
amihud,2004-11-01,810.0159996012302
amihud,2004-12-01,1169.2462141589986
amihud,2005-01-01,1511.0664894687802
amihud,2005-02-01,696.7476160285955
amihud,2005-03-01,1029.9983962355207
amihud,2005-04-01,2309.654668466781
amihud,2005-05-01,1026.7048317605293
amihud,2005-06-01,843.0843202595129
amihud,2005-07-01,711.7747373038025
amihud,2005-08-01,671.6794517628329
amihud,2005-09-01,855.2850059261187
amihud,2005-10-01,885.7446666665975
amihud,2005-11-01,533.0452761078791
amihud,2005-12-01,668.6292586268721
amihud,2006-01-01,973.8530942825826
amihud,2006-02-01,781.6472554071657
amihud,2006-03-01,572.9633944158766
amihud,2006-04-01,529.501819956534
amihud,2006-05-01,759.1705131735033
amihud,2006-06-01,1246.470119668573
amihud,2006-07-01,1135.8017330721673
amihud,2006-08-01,489.06080684461614
amihud,2006-09-01,561.3930653011676
amihud,2006-10-01,374.8643134212751
amihud,2006-11-01,368.10819262763795
amihud,2006-12-01,394.004544983902
amihud,2007-01-01,386.9869363568516
amihud,2007-02-01,195.31013556984593
amihud,2007-03-01,364.9077363325154
amihud,2007-04-01,232.21802548856257
amihud,2007-05-01,366.1245344485544
amihud,2007-06-01,287.394846359261
amihud,2007-07-01,279.1708181572525
amihud,2007-08-01,472.5298030082475
amihud,2007-09-01,309.3062566362616
amihud,2007-10-01,255.67851840801958
amihud,2007-11-01,586.27150504312
amihud,2007-12-01,457.3414299057804
amihud,2008-01-01,549.9662035880646
amihud,2008-02-01,445.4696286822658
amihud,2008-03-01,346.71314732863925
amihud,2008-04-01,180.6088678396855
amihud,2008-05-01,226.5890243120137
amihud,2008-06-01,208.82449464844615
amihud,2008-07-01,287.77786497586936
amihud,2008-08-01,421.1389003465018
amihud,2008-09-01,548.9305447829631
amihud,2008-10-01,877.8903485708994
amihud,2008-11-01,926.303177596214
amihud,2008-12-01,596.5428867512874
amihud,2009-01-01,647.326049381131
amihud,2009-02-01,624.228186881479
amihud,2009-03-01,665.0070901358368
amihud,2009-04-01,411.02260854766064
amihud,2009-05-01,381.3495392258835
amihud,2009-06-01,311.1858782674139
amihud,2009-07-01,319.58153545002176
amihud,2009-08-01,219.34835653152086
amihud,2009-09-01,221.5703148500885
amihud,2009-10-01,206.85026657291957
amihud,2009-11-01,272.98135675515726
amihud,2009-12-01,128.52548154684112
amihud,2010-01-01,156.27717702902362
amihud,2010-02-01,104.3662100056168
amihud,2010-03-01,64.07377348067597
amihud,2010-04-01,114.44371824803895
amihud,2010-05-01,179.06112999274436
amihud,2010-06-01,161.8481786437757
amihud,2010-07-01,129.25327267046654
amihud,2010-08-01,128.94987708949537
amihud,2010-09-01,99.93399773547861
amihud,2010-10-01,82.1876326095307
amihud,2010-11-01,106.71819585365745
amihud,2010-12-01,75.71588703625494
amihud,2011-01-01,83.91319880372559
amihud,2011-02-01,134.28657286256106
amihud,2011-03-01,126.42810230527662
amihud,2011-04-01,95.78305085051711
amihud,2011-05-01,125.3742121669251
amihud,2011-06-01,91.03082138095921
amihud,2011-07-01,68.55411801618625
amihud,2011-08-01,204.22207011975652
amihud,2011-09-01,262.82161076106644
amihud,2011-10-01,141.85102102035034
amihud,2011-11-01,156.92932782783268
amihud,2011-12-01,217.68798961607513
amihud,2012-01-01,118.44142392542521
amihud,2012-02-01,68.01058573000984
amihud,2012-03-01,67.77059608956405
amihud,2012-04-01,70.79300832542185
amihud,2012-05-01,101.40160658815894
amihud,2012-06-01,81.4688026037745
amihud,2012-07-01,84.65086796936951
amihud,2012-08-01,65.14159688422738
amihud,2012-09-01,69.24277862500574
amihud,2012-10-01,45.819564642003286
