series,date,value
cpi_index,1969-01-01,0.011595
cpi_index,1969-02-01,0.011636
cpi_index,1969-03-01,0.011648
cpi_index,1969-04-01,0.01168
cpi_index,1969-05-01,0.01168
cpi_index,1969-06-01,0.011721
cpi_index,1969-07-01,0.011766
cpi_index,1969-08-01,0.011779
cpi_index,1969-09-01,0.011889
cpi_index,1969-10-01,0.012014
cpi_index,1969-11-01,0.012015
cpi_index,1969-12-01,0.012106
cpi_index,1970-01-01,0.012198
cpi_index,1970-02-01,0.012196
cpi_index,1970-03-01,0.012232
cpi_index,1970-04-01,0.012248
cpi_index,1970-05-01,0.012274
cpi_index,1970-06-01,0.012348
cpi_index,1970-07-01,0.012409
cpi_index,1970-08-01,0.012466
cpi_index,1970-09-01,0.012496
cpi_index,1970-10-01,0.0125
cpi_index,1970-11-01,0.012568
cpi_index,1970-12-01,0.012674
cpi_index,1971-01-01,0.012799
cpi_index,1971-02-01,0.012852
cpi_index,1971-03-01,0.012901
cpi_index,1971-04-01,0.012967
cpi_index,1971-05-01,0.012994
cpi_index,1971-06-01,0.013053
cpi_index,1971-07-01,0.013043
cpi_index,1971-08-01,0.013162
cpi_index,1971-09-01,0.013205
cpi_index,1971-10-01,0.013218
cpi_index,1971-11-01,0.01324
cpi_index,1971-12-01,0.013303
cpi_index,1972-01-01,0.013362
cpi_index,1972-02-01,0.013403
cpi_index,1972-03-01,0.013476
cpi_index,1972-04-01,0.013561
cpi_index,1972-05-01,0.013588
cpi_index,1972-06-01,0.013689
cpi_index,1972-07-01,0.01374
cpi_index,1972-08-01,0.013831
cpi_index,1972-09-01,0.013894
cpi_index,1972-10-01,0.013904
cpi_index,1972-11-01,0.013994
cpi_index,1972-12-01,0.014042
cpi_index,1973-01-01,0.014246
cpi_index,1973-02-01,0.014363
cpi_index,1973-03-01,0.01449
cpi_index,1973-04-01,0.014719
cpi_index,1973-05-01,0.014876
cpi_index,1973-06-01,0.014998
cpi_index,1973-07-01,0.015382
cpi_index,1973-08-01,0.015629
cpi_index,1973-09-01,0.016001
cpi_index,1973-10-01,0.016206
cpi_index,1973-11-01,0.016406
cpi_index,1973-12-01,0.017043
cpi_index,1974-01-01,0.017653
cpi_index,1974-02-01,0.018052
cpi_index,1974-03-01,0.018191
cpi_index,1974-04-01,0.018438
cpi_index,1974-05-01,0.018583
cpi_index,1974-06-01,0.018766
cpi_index,1974-07-01,0.019038
cpi_index,1974-08-01,0.019239
cpi_index,1974-09-01,0.019457
cpi_index,1974-10-01,0.019843
cpi_index,1974-11-01,0.020394
cpi_index,1974-12-01,0.020553
cpi_index,1975-01-01,0.020816
cpi_index,1975-02-01,0.020931
cpi_index,1975-03-01,0.021063
cpi_index,1975-04-01,0.021241
cpi_index,1975-05-01,0.021525
cpi_index,1975-06-01,0.021891
cpi_index,1975-07-01,0.022066
cpi_index,1975-08-01,0.022257
cpi_index,1975-09-01,0.022419
cpi_index,1975-10-01,0.022534
cpi_index,1975-11-01,0.022692
cpi_index,1975-12-01,0.022877
cpi_index,1976-01-01,0.023319
cpi_index,1976-02-01,0.023755
cpi_index,1976-03-01,0.023988
cpi_index,1976-04-01,0.024156
cpi_index,1976-05-01,0.024325
cpi_index,1976-06-01,0.024423
cpi_index,1976-07-01,0.024629
cpi_index,1976-08-01,0.024865
cpi_index,1976-09-01,0.025713
cpi_index,1976-10-01,0.027161
cpi_index,1976-11-01,0.028388
cpi_index,1976-12-01,0.0291
cpi_index,1977-01-01,0.030027
cpi_index,1977-02-01,0.03069
cpi_index,1977-03-01,0.031225
cpi_index,1977-04-01,0.031697
cpi_index,1977-05-01,0.031976
cpi_index,1977-06-01,0.032368
cpi_index,1977-07-01,0.032734
cpi_index,1977-08-01,0.033405
cpi_index,1977-09-01,0.033998
cpi_index,1977-10-01,0.034258
cpi_index,1977-11-01,0.034632
cpi_index,1977-12-01,0.035112
cpi_index,1978-01-01,0.035892
cpi_index,1978-02-01,0.036408
cpi_index,1978-03-01,0.036787
cpi_index,1978-04-01,0.037196
cpi_index,1978-05-01,0.03756
cpi_index,1978-06-01,0.038077
cpi_index,1978-07-01,0.038723
cpi_index,1978-08-01,0.039109
cpi_index,1978-09-01,0.039555
cpi_index,1978-10-01,0.040034
cpi_index,1978-11-01,0.040446
cpi_index,1978-12-01,0.040789
cpi_index,1979-01-01,0.042237
cpi_index,1979-02-01,0.042845
cpi_index,1979-03-01,0.043426
cpi_index,1979-04-01,0.043815
cpi_index,1979-05-01,0.044389
cpi_index,1979-06-01,0.044881
cpi_index,1979-07-01,0.045425
cpi_index,1979-08-01,0.046112
cpi_index,1979-09-01,0.046678
cpi_index,1979-10-01,0.047493
cpi_index,1979-11-01,0.048104
cpi_index,1979-12-01,0.048956
cpi_index,1980-01-01,0.051342
cpi_index,1980-02-01,0.052529
cpi_index,1980-03-01,0.05361
cpi_index,1980-04-01,0.054547
cpi_index,1980-05-01,0.055437
cpi_index,1980-06-01,0.056536
cpi_index,1980-07-01,0.058115
cpi_index,1980-08-01,0.059319
cpi_index,1980-09-01,0.059978
cpi_index,1980-10-01,0.060886
cpi_index,1980-11-01,0.061942
cpi_index,1980-12-01,0.063567
cpi_index,1981-01-01,0.065615
cpi_index,1981-02-01,0.067227
cpi_index,1981-03-01,0.068665
cpi_index,1981-04-01,0.070213
cpi_index,1981-05-01,0.071275
cpi_index,1981-06-01,0.072271
cpi_index,1981-07-01,0.073544
cpi_index,1981-08-01,0.07506
cpi_index,1981-09-01,0.076456
cpi_index,1981-10-01,0.078153
cpi_index,1981-11-01,0.079657
cpi_index,1981-12-01,0.081801
cpi_index,1982-01-01,0.085866
cpi_index,1982-02-01,0.08924
cpi_index,1982-03-01,0.092499
cpi_index,1982-04-01,0.097512
cpi_index,1982-05-01,0.102993
cpi_index,1982-06-01,0.107954
cpi_index,1982-07-01,0.113517
cpi_index,1982-08-01,0.126256
cpi_index,1982-09-01,0.132995
cpi_index,1982-10-01,0.13989
cpi_index,1982-11-01,0.146963
cpi_index,1982-12-01,0.162656
cpi_index,1983-01-01,0.180355
cpi_index,1983-02-01,0.190034
cpi_index,1983-03-01,0.199232
cpi_index,1983-04-01,0.211846
cpi_index,1983-05-01,0.221034
cpi_index,1983-06-01,0.229404
cpi_index,1983-07-01,0.240746
cpi_index,1983-08-01,0.250091
cpi_index,1983-09-01,0.257787
cpi_index,1983-10-01,0.266341
cpi_index,1983-11-01,0.281983
cpi_index,1983-12-01,0.294047
cpi_index,1984-01-01,0.312728
cpi_index,1984-02-01,0.329232
cpi_index,1984-03-01,0.343304
cpi_index,1984-04-01,0.358156
cpi_index,1984-05-01,0.370032
cpi_index,1984-06-01,0.383423
cpi_index,1984-07-01,0.395993
cpi_index,1984-08-01,0.407249
cpi_index,1984-09-01,0.41938
cpi_index,1984-10-01,0.434034
cpi_index,1984-11-01,0.448929
cpi_index,1984-12-01,0.467996
cpi_index,1985-01-01,0.502711
cpi_index,1985-02-01,0.523596
cpi_index,1985-03-01,0.543885
cpi_index,1985-04-01,0.560621
cpi_index,1985-05-01,0.573902
cpi_index,1985-06-01,0.588276
cpi_index,1985-07-01,0.608763
cpi_index,1985-08-01,0.635377
cpi_index,1985-09-01,0.660752
cpi_index,1985-10-01,0.685852
cpi_index,1985-11-01,0.717495
cpi_index,1985-12-01,0.76634
cpi_index,1986-01-01,0.834092
cpi_index,1986-02-01,0.871174
cpi_index,1986-03-01,0.911667
cpi_index,1986-04-01,0.959263
cpi_index,1986-05-01,1.01257
cpi_index,1986-06-01,1.077567
cpi_index,1986-07-01,1.131333
cpi_index,1986-08-01,1.221531
cpi_index,1986-09-01,1.294812
cpi_index,1986-10-01,1.368824
cpi_index,1986-11-01,1.461304
cpi_index,1986-12-01,1.576735
cpi_index,1987-01-01,1.704401
cpi_index,1987-02-01,1.827386
cpi_index,1987-03-01,1.948153
cpi_index,1987-04-01,2.118606
cpi_index,1987-05-01,2.278325
cpi_index,1987-06-01,2.443146
cpi_index,1987-07-01,2.641022
cpi_index,1987-08-01,2.856872
cpi_index,1987-09-01,3.045081
cpi_index,1987-10-01,3.298845
cpi_index,1987-11-01,3.560511
cpi_index,1987-12-01,4.086392
cpi_index,1988-01-01,4.718246
cpi_index,1988-02-01,5.111783
cpi_index,1988-03-01,5.373547
cpi_index,1988-04-01,5.538941
cpi_index,1988-05-01,5.646109
cpi_index,1988-06-01,5.761292
cpi_index,1988-07-01,5.857457
cpi_index,1988-08-01,5.911343
cpi_index,1988-09-01,5.945139
cpi_index,1988-10-01,5.990486
cpi_index,1988-11-01,6.070654
cpi_index,1988-12-01,6.197316
cpi_index,1989-01-01,6.349024
cpi_index,1989-02-01,6.435184
cpi_index,1989-03-01,6.504945
cpi_index,1989-04-01,6.602224
cpi_index,1989-05-01,6.693099
cpi_index,1989-06-01,6.774385
cpi_index,1989-07-01,6.842148
cpi_index,1989-08-01,6.907333
cpi_index,1989-09-01,6.973393
cpi_index,1989-10-01,7.076525
cpi_index,1989-11-01,7.175855
cpi_index,1989-12-01,7.41803
cpi_index,1990-01-01,7.776037
cpi_index,1990-02-01,7.95212
cpi_index,1990-03-01,8.09231
cpi_index,1990-04-01,8.215472
cpi_index,1990-05-01,8.358838
cpi_index,1990-06-01,8.542939
cpi_index,1990-07-01,8.698735
cpi_index,1990-08-01,8.84695
cpi_index,1990-09-01,8.973061
cpi_index,1990-10-01,9.10206
cpi_index,1990-11-01,9.343723
cpi_index,1990-12-01,9.638214
cpi_index,1991-01-01,9.88388
cpi_index,1991-02-01,10.056425
cpi_index,1991-03-01,10.19984
cpi_index,1991-04-01,10.306688
cpi_index,1991-05-01,10.407442
cpi_index,1991-06-01,10.516648
cpi_index,1991-07-01,10.609584
cpi_index,1991-08-01,10.683423
cpi_index,1991-09-01,10.78985
cpi_index,1991-10-01,10.915343
cpi_index,1991-11-01,11.186374
cpi_index,1991-12-01,11.44968
cpi_index,1992-01-01,11.657778
cpi_index,1992-02-01,11.7959
cpi_index,1992-03-01,11.915948
cpi_index,1992-04-01,12.022171
cpi_index,1992-05-01,12.101438
cpi_index,1992-06-01,12.183345
cpi_index,1992-07-01,12.260272
cpi_index,1992-08-01,12.335592
cpi_index,1992-09-01,12.442897
cpi_index,1992-10-01,12.532494
cpi_index,1992-11-01,12.63662
cpi_index,1992-12-01,12.816553
cpi_index,1993-01-01,12.97732
cpi_index,1993-02-01,13.083345
cpi_index,1993-03-01,13.159594
cpi_index,1993-04-01,13.23548
cpi_index,1993-05-01,13.311137
cpi_index,1993-06-01,13.385797
cpi_index,1993-07-01,13.450123
cpi_index,1993-08-01,13.522112
cpi_index,1993-09-01,13.622261
cpi_index,1993-10-01,13.677973
cpi_index,1993-11-01,13.738302
cpi_index,1993-12-01,13.843055
cpi_index,1994-01-01,13.950375
cpi_index,1994-02-01,14.022124
cpi_index,1994-03-01,14.094225
cpi_index,1994-04-01,14.163251
cpi_index,1994-05-01,14.231682
cpi_index,1994-06-01,14.302895
cpi_index,1994-07-01,14.366327
cpi_index,1994-08-01,14.433287
cpi_index,1994-09-01,14.535937
cpi_index,1994-10-01,14.612245
cpi_index,1994-11-01,14.690361
cpi_index,1994-12-01,14.819204
cpi_index,1995-01-01,15.376991
cpi_index,1995-02-01,16.028707
cpi_index,1995-03-01,16.973617
cpi_index,1995-04-01,18.326133
cpi_index,1995-05-01,19.09209
cpi_index,1995-06-01,19.698024
cpi_index,1995-07-01,20.099588
cpi_index,1995-08-01,20.432981
cpi_index,1995-09-01,20.855643
cpi_index,1995-10-01,21.284762
cpi_index,1995-11-01,21.809608
cpi_index,1995-12-01,22.520167
cpi_index,1996-01-01,23.329754
cpi_index,1996-02-01,23.874262
cpi_index,1996-03-01,24.399826
cpi_index,1996-04-01,25.09345
cpi_index,1996-05-01,25.550842
cpi_index,1996-06-01,25.966902
cpi_index,1996-07-01,26.336031
cpi_index,1996-08-01,26.686072
cpi_index,1996-09-01,27.112751
cpi_index,1996-10-01,27.451168
cpi_index,1996-11-01,27.867083
cpi_index,1996-12-01,28.759336
cpi_index,1997-01-01,29.498886
cpi_index,1997-02-01,29.994598
cpi_index,1997-03-01,30.367889
cpi_index,1997-04-01,30.695972
cpi_index,1997-05-01,30.976119
cpi_index,1997-06-01,31.250957
cpi_index,1997-07-01,31.523211
cpi_index,1997-08-01,31.803502
cpi_index,1997-09-01,32.199613
cpi_index,1997-10-01,32.456941
cpi_index,1997-11-01,32.820042
cpi_index,1997-12-01,33.279875
cpi_index,1998-01-01,34.003924
cpi_index,1998-02-01,34.599238
cpi_index,1998-03-01,35.004533
cpi_index,1998-04-01,35.332042
cpi_index,1998-05-01,35.613481
cpi_index,1998-06-01,36.03442
cpi_index,1998-07-01,36.381878
cpi_index,1998-08-01,36.731632
cpi_index,1998-09-01,37.327376
